"","ds","facebook_s","googlesearch_s","type","solID","cluster","top_sol"
"31",2024-01-31,1800,1050,"rawMedia","1_619_1",1,FALSE
"32",2024-02-01,1900,1100,"rawMedia","1_619_1",1,FALSE
"33",2024-02-02,2000,1050,"rawMedia","1_619_1",1,FALSE
"34",2024-02-03,1600,1000,"rawMedia","1_619_1",1,FALSE
"35",2024-02-04,1500,950,"rawMedia","1_619_1",1,FALSE
"36",2024-02-05,1800,1100,"rawMedia","1_619_1",1,FALSE
"37",2024-02-06,1750,1050,"rawMedia","1_619_1",1,FALSE
"38",2024-02-07,1850,1100,"rawMedia","1_619_1",1,FALSE
"39",2024-02-08,1950,1150,"rawMedia","1_619_1",1,FALSE
"40",2024-02-09,2050,1100,"rawMedia","1_619_1",1,FALSE
"41",2024-02-10,1650,1050,"rawMedia","1_619_1",1,FALSE
"42",2024-02-11,1550,1000,"rawMedia","1_619_1",1,FALSE
"43",2024-02-12,1850,1150,"rawMedia","1_619_1",1,FALSE
"44",2024-02-13,1800,1100,"rawMedia","1_619_1",1,FALSE
"45",2024-02-14,1900,1150,"rawMedia","1_619_1",1,FALSE
"46",2024-02-15,2000,1200,"rawMedia","1_619_1",1,FALSE
"47",2024-02-16,2100,1150,"rawMedia","1_619_1",1,FALSE
"48",2024-02-17,1700,1100,"rawMedia","1_619_1",1,FALSE
"49",2024-02-18,1600,1050,"rawMedia","1_619_1",1,FALSE
"50",2024-02-19,1900,1200,"rawMedia","1_619_1",1,FALSE
"51",2024-02-20,1850,1150,"rawMedia","1_619_1",1,FALSE
"52",2024-02-21,1950,1200,"rawMedia","1_619_1",1,FALSE
"53",2024-02-22,2050,1250,"rawMedia","1_619_1",1,FALSE
"54",2024-02-23,2150,1200,"rawMedia","1_619_1",1,FALSE
"55",2024-02-24,1750,1150,"rawMedia","1_619_1",1,FALSE
"56",2024-02-25,1650,1100,"rawMedia","1_619_1",1,FALSE
"57",2024-02-26,1950,1250,"rawMedia","1_619_1",1,FALSE
"58",2024-02-27,1900,1200,"rawMedia","1_619_1",1,FALSE
"59",2024-02-28,2000,1250,"rawMedia","1_619_1",1,FALSE
"60",2024-02-29,2100,1300,"rawMedia","1_619_1",1,FALSE
"61",2024-03-01,2200,1250,"rawMedia","1_619_1",1,FALSE
"62",2024-03-02,1800,1200,"rawMedia","1_619_1",1,FALSE
"63",2024-03-03,1700,1150,"rawMedia","1_619_1",1,FALSE
"64",2024-03-04,2000,1300,"rawMedia","1_619_1",1,FALSE
"65",2024-03-05,1950,1250,"rawMedia","1_619_1",1,FALSE
"66",2024-03-06,2050,1300,"rawMedia","1_619_1",1,FALSE
"67",2024-03-07,2150,1350,"rawMedia","1_619_1",1,FALSE
"68",2024-03-08,2250,1300,"rawMedia","1_619_1",1,FALSE
"69",2024-03-09,1850,1250,"rawMedia","1_619_1",1,FALSE
"70",2024-03-10,1750,1200,"rawMedia","1_619_1",1,FALSE
"71",2024-03-11,2050,1350,"rawMedia","1_619_1",1,FALSE
"72",2024-03-12,2000,1300,"rawMedia","1_619_1",1,FALSE
"73",2024-03-13,2100,1350,"rawMedia","1_619_1",1,FALSE
"74",2024-03-14,2200,1400,"rawMedia","1_619_1",1,FALSE
"75",2024-03-15,2300,1350,"rawMedia","1_619_1",1,FALSE
"76",2024-03-16,1900,1300,"rawMedia","1_619_1",1,FALSE
"77",2024-03-17,1800,1250,"rawMedia","1_619_1",1,FALSE
"78",2024-03-18,2100,1400,"rawMedia","1_619_1",1,FALSE
"79",2024-03-19,2050,1350,"rawMedia","1_619_1",1,FALSE
"80",2024-03-20,2150,1400,"rawMedia","1_619_1",1,FALSE
"81",2024-03-21,2250,1450,"rawMedia","1_619_1",1,FALSE
"82",2024-03-22,2350,1400,"rawMedia","1_619_1",1,FALSE
"83",2024-03-23,1950,1350,"rawMedia","1_619_1",1,FALSE
"84",2024-03-24,1850,1300,"rawMedia","1_619_1",1,FALSE
"85",2024-03-25,2150,1450,"rawMedia","1_619_1",1,FALSE
"86",2024-03-26,2100,1400,"rawMedia","1_619_1",1,FALSE
"87",2024-03-27,2200,1450,"rawMedia","1_619_1",1,FALSE
"88",2024-03-28,2300,1500,"rawMedia","1_619_1",1,FALSE
"89",2024-03-29,2400,1450,"rawMedia","1_619_1",1,FALSE
"90",2024-03-30,2000,1400,"rawMedia","1_619_1",1,FALSE
"91",2024-03-31,1900,1350,"rawMedia","1_619_1",1,FALSE
"92",2024-01-01,1500,800,"rawSpend","1_619_1",1,FALSE
"93",2024-01-02,1450,850,"rawSpend","1_619_1",1,FALSE
"94",2024-01-03,1600,750,"rawSpend","1_619_1",1,FALSE
"95",2024-01-04,1700,900,"rawSpend","1_619_1",1,FALSE
"96",2024-01-05,1800,850,"rawSpend","1_619_1",1,FALSE
"97",2024-01-06,1400,800,"rawSpend","1_619_1",1,FALSE
"98",2024-01-07,1300,750,"rawSpend","1_619_1",1,FALSE
"99",2024-01-08,1600,900,"rawSpend","1_619_1",1,FALSE
"100",2024-01-09,1550,850,"rawSpend","1_619_1",1,FALSE
"101",2024-01-10,1650,900,"rawSpend","1_619_1",1,FALSE
"102",2024-01-11,1750,950,"rawSpend","1_619_1",1,FALSE
"103",2024-01-12,1850,900,"rawSpend","1_619_1",1,FALSE
"104",2024-01-13,1450,850,"rawSpend","1_619_1",1,FALSE
"105",2024-01-14,1350,800,"rawSpend","1_619_1",1,FALSE
"106",2024-01-15,1650,950,"rawSpend","1_619_1",1,FALSE
"107",2024-01-16,1600,900,"rawSpend","1_619_1",1,FALSE
"108",2024-01-17,1700,950,"rawSpend","1_619_1",1,FALSE
"109",2024-01-18,1800,1000,"rawSpend","1_619_1",1,FALSE
"110",2024-01-19,1900,950,"rawSpend","1_619_1",1,FALSE
"111",2024-01-20,1500,900,"rawSpend","1_619_1",1,FALSE
"112",2024-01-21,1400,850,"rawSpend","1_619_1",1,FALSE
"113",2024-01-22,1700,1000,"rawSpend","1_619_1",1,FALSE
"114",2024-01-23,1650,950,"rawSpend","1_619_1",1,FALSE
"115",2024-01-24,1750,1000,"rawSpend","1_619_1",1,FALSE
"116",2024-01-25,1850,1050,"rawSpend","1_619_1",1,FALSE
"117",2024-01-26,1950,1000,"rawSpend","1_619_1",1,FALSE
"118",2024-01-27,1550,950,"rawSpend","1_619_1",1,FALSE
"119",2024-01-28,1450,900,"rawSpend","1_619_1",1,FALSE
"120",2024-01-29,1750,1050,"rawSpend","1_619_1",1,FALSE
"121",2024-01-30,1700,1000,"rawSpend","1_619_1",1,FALSE
"122",2024-01-31,1800,1050,"rawSpend","1_619_1",1,FALSE
"123",2024-02-01,1900,1100,"rawSpend","1_619_1",1,FALSE
"124",2024-02-02,2000,1050,"rawSpend","1_619_1",1,FALSE
"125",2024-02-03,1600,1000,"rawSpend","1_619_1",1,FALSE
"126",2024-02-04,1500,950,"rawSpend","1_619_1",1,FALSE
"127",2024-02-05,1800,1100,"rawSpend","1_619_1",1,FALSE
"128",2024-02-06,1750,1050,"rawSpend","1_619_1",1,FALSE
"129",2024-02-07,1850,1100,"rawSpend","1_619_1",1,FALSE
"130",2024-02-08,1950,1150,"rawSpend","1_619_1",1,FALSE
"131",2024-02-09,2050,1100,"rawSpend","1_619_1",1,FALSE
"132",2024-02-10,1650,1050,"rawSpend","1_619_1",1,FALSE
"133",2024-02-11,1550,1000,"rawSpend","1_619_1",1,FALSE
"134",2024-02-12,1850,1150,"rawSpend","1_619_1",1,FALSE
"135",2024-02-13,1800,1100,"rawSpend","1_619_1",1,FALSE
"136",2024-02-14,1900,1150,"rawSpend","1_619_1",1,FALSE
"137",2024-02-15,2000,1200,"rawSpend","1_619_1",1,FALSE
"138",2024-02-16,2100,1150,"rawSpend","1_619_1",1,FALSE
"139",2024-02-17,1700,1100,"rawSpend","1_619_1",1,FALSE
"140",2024-02-18,1600,1050,"rawSpend","1_619_1",1,FALSE
"141",2024-02-19,1900,1200,"rawSpend","1_619_1",1,FALSE
"142",2024-02-20,1850,1150,"rawSpend","1_619_1",1,FALSE
"143",2024-02-21,1950,1200,"rawSpend","1_619_1",1,FALSE
"144",2024-02-22,2050,1250,"rawSpend","1_619_1",1,FALSE
"145",2024-02-23,2150,1200,"rawSpend","1_619_1",1,FALSE
"146",2024-02-24,1750,1150,"rawSpend","1_619_1",1,FALSE
"147",2024-02-25,1650,1100,"rawSpend","1_619_1",1,FALSE
"148",2024-02-26,1950,1250,"rawSpend","1_619_1",1,FALSE
"149",2024-02-27,1900,1200,"rawSpend","1_619_1",1,FALSE
"150",2024-02-28,2000,1250,"rawSpend","1_619_1",1,FALSE
"151",2024-02-29,2100,1300,"rawSpend","1_619_1",1,FALSE
"152",2024-03-01,2200,1250,"rawSpend","1_619_1",1,FALSE
"153",2024-03-02,1800,1200,"rawSpend","1_619_1",1,FALSE
"154",2024-03-03,1700,1150,"rawSpend","1_619_1",1,FALSE
"155",2024-03-04,2000,1300,"rawSpend","1_619_1",1,FALSE
"156",2024-03-05,1950,1250,"rawSpend","1_619_1",1,FALSE
"157",2024-03-06,2050,1300,"rawSpend","1_619_1",1,FALSE
"158",2024-03-07,2150,1350,"rawSpend","1_619_1",1,FALSE
"159",2024-03-08,2250,1300,"rawSpend","1_619_1",1,FALSE
"160",2024-03-09,1850,1250,"rawSpend","1_619_1",1,FALSE
"161",2024-03-10,1750,1200,"rawSpend","1_619_1",1,FALSE
"162",2024-03-11,2050,1350,"rawSpend","1_619_1",1,FALSE
"163",2024-03-12,2000,1300,"rawSpend","1_619_1",1,FALSE
"164",2024-03-13,2100,1350,"rawSpend","1_619_1",1,FALSE
"165",2024-03-14,2200,1400,"rawSpend","1_619_1",1,FALSE
"166",2024-03-15,2300,1350,"rawSpend","1_619_1",1,FALSE
"167",2024-03-16,1900,1300,"rawSpend","1_619_1",1,FALSE
"168",2024-03-17,1800,1250,"rawSpend","1_619_1",1,FALSE
"169",2024-03-18,2100,1400,"rawSpend","1_619_1",1,FALSE
"170",2024-03-19,2050,1350,"rawSpend","1_619_1",1,FALSE
"171",2024-03-20,2150,1400,"rawSpend","1_619_1",1,FALSE
"172",2024-03-21,2250,1450,"rawSpend","1_619_1",1,FALSE
"173",2024-03-22,2350,1400,"rawSpend","1_619_1",1,FALSE
"174",2024-03-23,1950,1350,"rawSpend","1_619_1",1,FALSE
"175",2024-03-24,1850,1300,"rawSpend","1_619_1",1,FALSE
"176",2024-03-25,2150,1450,"rawSpend","1_619_1",1,FALSE
"177",2024-03-26,2100,1400,"rawSpend","1_619_1",1,FALSE
"178",2024-03-27,2200,1450,"rawSpend","1_619_1",1,FALSE
"179",2024-03-28,2300,1500,"rawSpend","1_619_1",1,FALSE
"180",2024-03-29,2400,1450,"rawSpend","1_619_1",1,FALSE
"181",2024-03-30,2000,1400,"rawSpend","1_619_1",1,FALSE
"182",2024-03-31,1900,1350,"rawSpend","1_619_1",1,FALSE
"183",2024-01-01,1500,800,"predictedExposure","1_619_1",1,FALSE
"184",2024-01-02,1450,850,"predictedExposure","1_619_1",1,FALSE
"185",2024-01-03,1600,750,"predictedExposure","1_619_1",1,FALSE
"186",2024-01-04,1700,900,"predictedExposure","1_619_1",1,FALSE
"187",2024-01-05,1800,850,"predictedExposure","1_619_1",1,FALSE
"188",2024-01-06,1400,800,"predictedExposure","1_619_1",1,FALSE
"189",2024-01-07,1300,750,"predictedExposure","1_619_1",1,FALSE
"190",2024-01-08,1600,900,"predictedExposure","1_619_1",1,FALSE
"191",2024-01-09,1550,850,"predictedExposure","1_619_1",1,FALSE
"192",2024-01-10,1650,900,"predictedExposure","1_619_1",1,FALSE
"193",2024-01-11,1750,950,"predictedExposure","1_619_1",1,FALSE
"194",2024-01-12,1850,900,"predictedExposure","1_619_1",1,FALSE
"195",2024-01-13,1450,850,"predictedExposure","1_619_1",1,FALSE
"196",2024-01-14,1350,800,"predictedExposure","1_619_1",1,FALSE
"197",2024-01-15,1650,950,"predictedExposure","1_619_1",1,FALSE
"198",2024-01-16,1600,900,"predictedExposure","1_619_1",1,FALSE
"199",2024-01-17,1700,950,"predictedExposure","1_619_1",1,FALSE
"200",2024-01-18,1800,1000,"predictedExposure","1_619_1",1,FALSE
"201",2024-01-19,1900,950,"predictedExposure","1_619_1",1,FALSE
"202",2024-01-20,1500,900,"predictedExposure","1_619_1",1,FALSE
"203",2024-01-21,1400,850,"predictedExposure","1_619_1",1,FALSE
"204",2024-01-22,1700,1000,"predictedExposure","1_619_1",1,FALSE
"205",2024-01-23,1650,950,"predictedExposure","1_619_1",1,FALSE
"206",2024-01-24,1750,1000,"predictedExposure","1_619_1",1,FALSE
"207",2024-01-25,1850,1050,"predictedExposure","1_619_1",1,FALSE
"208",2024-01-26,1950,1000,"predictedExposure","1_619_1",1,FALSE
"209",2024-01-27,1550,950,"predictedExposure","1_619_1",1,FALSE
"210",2024-01-28,1450,900,"predictedExposure","1_619_1",1,FALSE
"211",2024-01-29,1750,1050,"predictedExposure","1_619_1",1,FALSE
"212",2024-01-30,1700,1000,"predictedExposure","1_619_1",1,FALSE
"213",2024-01-31,1800,1050,"predictedExposure","1_619_1",1,FALSE
"214",2024-02-01,1900,1100,"predictedExposure","1_619_1",1,FALSE
"215",2024-02-02,2000,1050,"predictedExposure","1_619_1",1,FALSE
"216",2024-02-03,1600,1000,"predictedExposure","1_619_1",1,FALSE
"217",2024-02-04,1500,950,"predictedExposure","1_619_1",1,FALSE
"218",2024-02-05,1800,1100,"predictedExposure","1_619_1",1,FALSE
"219",2024-02-06,1750,1050,"predictedExposure","1_619_1",1,FALSE
"220",2024-02-07,1850,1100,"predictedExposure","1_619_1",1,FALSE
"221",2024-02-08,1950,1150,"predictedExposure","1_619_1",1,FALSE
"222",2024-02-09,2050,1100,"predictedExposure","1_619_1",1,FALSE
"223",2024-02-10,1650,1050,"predictedExposure","1_619_1",1,FALSE
"224",2024-02-11,1550,1000,"predictedExposure","1_619_1",1,FALSE
"225",2024-02-12,1850,1150,"predictedExposure","1_619_1",1,FALSE
"226",2024-02-13,1800,1100,"predictedExposure","1_619_1",1,FALSE
"227",2024-02-14,1900,1150,"predictedExposure","1_619_1",1,FALSE
"228",2024-02-15,2000,1200,"predictedExposure","1_619_1",1,FALSE
"229",2024-02-16,2100,1150,"predictedExposure","1_619_1",1,FALSE
"230",2024-02-17,1700,1100,"predictedExposure","1_619_1",1,FALSE
"231",2024-02-18,1600,1050,"predictedExposure","1_619_1",1,FALSE
"232",2024-02-19,1900,1200,"predictedExposure","1_619_1",1,FALSE
"233",2024-02-20,1850,1150,"predictedExposure","1_619_1",1,FALSE
"234",2024-02-21,1950,1200,"predictedExposure","1_619_1",1,FALSE
"235",2024-02-22,2050,1250,"predictedExposure","1_619_1",1,FALSE
"236",2024-02-23,2150,1200,"predictedExposure","1_619_1",1,FALSE
"237",2024-02-24,1750,1150,"predictedExposure","1_619_1",1,FALSE
"238",2024-02-25,1650,1100,"predictedExposure","1_619_1",1,FALSE
"239",2024-02-26,1950,1250,"predictedExposure","1_619_1",1,FALSE
"240",2024-02-27,1900,1200,"predictedExposure","1_619_1",1,FALSE
"241",2024-02-28,2000,1250,"predictedExposure","1_619_1",1,FALSE
"242",2024-02-29,2100,1300,"predictedExposure","1_619_1",1,FALSE
"243",2024-01-01,1500,800,"adstockedMedia","1_619_1",1,FALSE
"244",2024-01-02,1574.95803481,922.914433024,"adstockedMedia","1_619_1",1,FALSE
"245",2024-01-03,1731.20244062538,834.117228267014,"adstockedMedia","1_619_1",1,FALSE
"246",2024-01-04,1844.21843655922,976.0239809683,"adstockedMedia","1_619_1",1,FALSE
"247",2024-01-05,1953.63327439521,938.957793987664,"adstockedMedia","1_619_1",1,FALSE
"248",2024-01-06,1562.7481164719,885.579468977595,"adstockedMedia","1_619_1",1,FALSE
"249",2024-01-07,1430.18528902491,830.714406097745,"adstockedMedia","1_619_1",1,FALSE
"250",2024-01-08,1719.14209542048,975.713837406857,"adstockedMedia","1_619_1",1,FALSE
"251",2024-01-09,1693.21374520193,938.92952656024,"adstockedMedia","1_619_1",1,FALSE
"252",2024-01-10,1791.05377474248,985.576892598291,"adstockedMedia","1_619_1",1,FALSE
"253",2024-01-11,1899.20437328723,1039.8284754067,"adstockedMedia","1_619_1",1,FALSE
"254",2024-01-12,2008.21389745902,994.773129658112,"adstockedMedia","1_619_1",1,FALSE
"255",2024-01-13,1617.29497473641,940.666648420664,"adstockedMedia","1_619_1",1,FALSE
"256",2024-01-14,1484.72933450077,885.735219167724,"adstockedMedia","1_619_1",1,FALSE
"257",2024-01-15,1773.68590657598,1030.72860164375,"adstockedMedia","1_619_1",1,FALSE
"258",2024-01-16,1747.75753683729,993.943739488093,"adstockedMedia","1_619_1",1,FALSE
"259",2024-01-17,1845.5975647517,1040.59105527816,"adstockedMedia","1_619_1",1,FALSE
"260",2024-01-18,1953.748163161,1094.84263350682,"adstockedMedia","1_619_1",1,FALSE
"261",2024-01-19,2062.7576873215,1049.78728734082,"adstockedMedia","1_619_1",1,FALSE
"262",2024-01-20,1671.83876459794,995.680806065323,"adstockedMedia","1_619_1",1,FALSE
"263",2024-01-21,1539.27312436222,940.749376808915,"adstockedMedia","1_619_1",1,FALSE
"264",2024-01-22,1828.22969643743,1085.74275928463,"adstockedMedia","1_619_1",1,FALSE
"265",2024-01-23,1802.30132669874,1048.95789712894,"adstockedMedia","1_619_1",1,FALSE
"266",2024-01-24,1900.14135461315,1095.605212919,"adstockedMedia","1_619_1",1,FALSE
"267",2024-01-25,2008.29195302245,1149.85679114766,"adstockedMedia","1_619_1",1,FALSE
"268",2024-01-26,2117.30147718295,1104.80144498166,"adstockedMedia","1_619_1",1,FALSE
"269",2024-01-27,1726.38255445939,1050.69496370617,"adstockedMedia","1_619_1",1,FALSE
"270",2024-01-28,1593.81691422368,995.763534449759,"adstockedMedia","1_619_1",1,FALSE
"271",2024-01-29,1882.77348629889,1140.75691692547,"adstockedMedia","1_619_1",1,FALSE
"272",2024-01-30,1856.84511656019,1103.97205476978,"adstockedMedia","1_619_1",1,FALSE
"273",2024-01-31,1954.6851444746,1150.61937055985,"adstockedMedia","1_619_1",1,FALSE
"274",2024-02-01,2062.8357428839,1204.8709487885,"adstockedMedia","1_619_1",1,FALSE
"275",2024-02-02,2171.8452670444,1159.8156026225,"adstockedMedia","1_619_1",1,FALSE
"276",2024-02-03,1780.92634432085,1105.70912134701,"adstockedMedia","1_619_1",1,FALSE
"277",2024-02-04,1648.36070408513,1050.7776920906,"adstockedMedia","1_619_1",1,FALSE
"278",2024-02-05,1937.31727616034,1195.77107456632,"adstockedMedia","1_619_1",1,FALSE
"279",2024-02-06,1911.38890642164,1158.98621241063,"adstockedMedia","1_619_1",1,FALSE
"280",2024-02-07,2009.22893433606,1205.63352820069,"adstockedMedia","1_619_1",1,FALSE
"281",2024-02-08,2117.37953274535,1259.88510642935,"adstockedMedia","1_619_1",1,FALSE
"282",2024-02-09,2226.38905690585,1214.82976026335,"adstockedMedia","1_619_1",1,FALSE
"283",2024-02-10,1835.4701341823,1160.72327898785,"adstockedMedia","1_619_1",1,FALSE
"284",2024-02-11,1702.90449394658,1105.79184973145,"adstockedMedia","1_619_1",1,FALSE
"285",2024-02-12,1991.86106602179,1250.78523220716,"adstockedMedia","1_619_1",1,FALSE
"286",2024-02-13,1965.93269628309,1214.00037005147,"adstockedMedia","1_619_1",1,FALSE
"287",2024-02-14,2063.77272419751,1260.64768584154,"adstockedMedia","1_619_1",1,FALSE
"288",2024-02-15,2171.9233226068,1314.89926407019,"adstockedMedia","1_619_1",1,FALSE
"289",2024-02-16,2280.9328467673,1269.84391790419,"adstockedMedia","1_619_1",1,FALSE
"290",2024-02-17,1890.01392404375,1215.7374366287,"adstockedMedia","1_619_1",1,FALSE
"291",2024-02-18,1757.44828380803,1160.80600737229,"adstockedMedia","1_619_1",1,FALSE
"292",2024-02-19,2046.40485588324,1305.799389848,"adstockedMedia","1_619_1",1,FALSE
"293",2024-02-20,2020.47648614454,1269.01452769232,"adstockedMedia","1_619_1",1,FALSE
"294",2024-02-21,2118.31651405896,1315.66184348238,"adstockedMedia","1_619_1",1,FALSE
"295",2024-02-22,2226.46711246825,1369.91342171104,"adstockedMedia","1_619_1",1,FALSE
"296",2024-02-23,2335.47663662875,1324.85807554504,"adstockedMedia","1_619_1",1,FALSE
"297",2024-02-24,1944.5577139052,1270.75159426954,"adstockedMedia","1_619_1",1,FALSE
"298",2024-02-25,1811.99207366948,1215.82016501313,"adstockedMedia","1_619_1",1,FALSE
"299",2024-02-26,2100.94864574469,1360.81354748885,"adstockedMedia","1_619_1",1,FALSE
"300",2024-02-27,2075.02027600599,1324.02868533316,"adstockedMedia","1_619_1",1,FALSE
"301",2024-02-28,2172.86030392041,1370.67600112322,"adstockedMedia","1_619_1",1,FALSE
"302",2024-02-29,2281.0109023297,1424.92757935188,"adstockedMedia","1_619_1",1,FALSE
"303",2024-03-01,2390.0204264902,1379.87223318588,"adstockedMedia","1_619_1",1,FALSE
"304",2024-03-02,1999.10150376665,1325.76575191039,"adstockedMedia","1_619_1",1,FALSE
"305",2024-03-03,1866.53586353093,1270.83432265398,"adstockedMedia","1_619_1",1,FALSE
"306",2024-03-04,2155.49243560614,1415.82770512969,"adstockedMedia","1_619_1",1,FALSE
"307",2024-03-05,2129.56406586744,1379.042842974,"adstockedMedia","1_619_1",1,FALSE
"308",2024-03-06,2227.40409378186,1425.69015876407,"adstockedMedia","1_619_1",1,FALSE
"309",2024-03-07,2335.55469219115,1479.94173699272,"adstockedMedia","1_619_1",1,FALSE
"310",2024-03-08,2444.56421635165,1434.88639082672,"adstockedMedia","1_619_1",1,FALSE
"311",2024-03-09,2053.6452936281,1380.77990955123,"adstockedMedia","1_619_1",1,FALSE
"312",2024-03-10,1921.07965339238,1325.84848029482,"adstockedMedia","1_619_1",1,FALSE
"313",2024-03-11,2210.03622546759,1470.84186277054,"adstockedMedia","1_619_1",1,FALSE
"314",2024-03-12,2184.10785572889,1434.05700061485,"adstockedMedia","1_619_1",1,FALSE
"315",2024-03-13,2281.94788364331,1480.70431640491,"adstockedMedia","1_619_1",1,FALSE
"316",2024-03-14,2390.0984820526,1534.95589463357,"adstockedMedia","1_619_1",1,FALSE
"317",2024-03-15,2499.1080062131,1489.90054846757,"adstockedMedia","1_619_1",1,FALSE
"318",2024-03-16,2108.18908348955,1435.79406719207,"adstockedMedia","1_619_1",1,FALSE
"319",2024-03-17,1975.62344325383,1380.86263793567,"adstockedMedia","1_619_1",1,FALSE
"320",2024-03-18,2264.58001532904,1525.85602041138,"adstockedMedia","1_619_1",1,FALSE
"321",2024-03-19,2238.65164559034,1489.07115825569,"adstockedMedia","1_619_1",1,FALSE
"322",2024-03-20,2336.49167350476,1535.71847404576,"adstockedMedia","1_619_1",1,FALSE
"323",2024-03-21,2444.64227191406,1589.97005227441,"adstockedMedia","1_619_1",1,FALSE
"324",2024-03-22,2553.65179607456,1544.91470610841,"adstockedMedia","1_619_1",1,FALSE
"325",2024-03-23,2162.732873351,1490.80822483292,"adstockedMedia","1_619_1",1,FALSE
"326",2024-03-24,2030.16723311528,1435.87679557651,"adstockedMedia","1_619_1",1,FALSE
"327",2024-03-25,2319.12380519049,1580.87017805222,"adstockedMedia","1_619_1",1,FALSE
"328",2024-03-26,2293.1954354518,1544.08531589653,"adstockedMedia","1_619_1",1,FALSE
"329",2024-03-27,2391.03546336621,1590.7326316866,"adstockedMedia","1_619_1",1,FALSE
"330",2024-03-28,2499.18606177551,1644.98420991525,"adstockedMedia","1_619_1",1,FALSE
"331",2024-03-29,2608.19558593601,1599.92886374925,"adstockedMedia","1_619_1",1,FALSE
"332",2024-03-30,2217.27666321245,1545.82238247376,"adstockedMedia","1_619_1",1,FALSE
"333",2024-03-31,2084.71102297673,1490.89095321735,"adstockedMedia","1_619_1",1,FALSE
"334",2024-01-01,0.278427076012706,0.207118974342275,"saturatedMedia","1_619_1",1,FALSE
"335",2024-01-02,0.303766598157314,0.276107792810693,"saturatedMedia","1_619_1",1,FALSE
"336",2024-01-03,0.356376337688685,0.225870947863373,"saturatedMedia","1_619_1",1,FALSE
"337",2024-01-04,0.393695312950687,0.306683802294883,"saturatedMedia","1_619_1",1,FALSE
"338",2024-01-05,0.428835857614332,0.285323204834534,"saturatedMedia","1_619_1",1,FALSE
"339",2024-01-06,0.299635810074586,0.254791789157346,"saturatedMedia","1_619_1",1,FALSE
"340",2024-01-07,0.25495608531814,0.223983507729319,"saturatedMedia","1_619_1",1,FALSE
"341",2024-01-08,0.352346861949107,0.306504859608136,"saturatedMedia","1_619_1",1,FALSE
"342",2024-01-09,0.343660100977804,0.285306946455058,"saturatedMedia","1_619_1",1,FALSE
"343",2024-01-10,0.376249095463263,0.31219592437225,"saturatedMedia","1_619_1",1,FALSE
"344",2024-01-11,0.411495029260054,0.343449623399116,"saturatedMedia","1_619_1",1,FALSE
"345",2024-01-12,0.445916841866397,0.317501998835452,"saturatedMedia","1_619_1",1,FALSE
"346",2024-01-13,0.318082833127704,0.286306197796596,"saturatedMedia","1_619_1",1,FALSE
"347",2024-01-14,0.273277541759671,0.254880232811047,"saturatedMedia","1_619_1",1,FALSE
"348",2024-01-15,0.370505462641311,0.338219597885729,"saturatedMedia","1_619_1",1,FALSE
"349",2024-01-16,0.361894833632275,0.317023501271337,"saturatedMedia","1_619_1",1,FALSE
"350",2024-01-17,0.394144942619245,0.343887567401267,"saturatedMedia","1_619_1",1,FALSE
"351",2024-01-18,0.428872145810139,0.374861011078045,"saturatedMedia","1_619_1",1,FALSE
